Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
2,SEBASTIAN LANG,105,OMEGA PHARMA - LOTTO,2 PTS,,6,2010,,,,Côte de la Croix de l'Arbre - 227.5 km
3,DIMITRI CHAMPION,83,AG2R LA MONDIALE,1 PTS,,6,2010,,,,Côte de la Croix de l'Arbre - 227.5 km
1,JÉRÔME PINEAU,135,QUICK STEP,4 PTS,,7,2010,,,,Côte de l'Aubépin - 165.5 km
2,CHRISTIAN KNEES,145,TEAM MILRAM,3 PTS,,7,2010,,,,Côte de l'Aubépin - 165.5 km
3,RUBEN PEREZ MORENO,186,EUSKALTEL - EUSKADI,2 PTS,,7,2010,,,,Côte de l'Aubépin - 165.5 km
4,SAMUEL DUMOULIN,173,COFIDIS LE CREDIT EN LIGNE,1 PTS,,7,2010,,,,Côte de l'Aubépin - 165.5 km
1,JÉRÔME PINEAU,135,QUICK STEP,3 PTS,,7,2010,,,,Côte des Granges (DESSIA) - 165.5 km
2,RUBEN PEREZ MORENO,186,EUSKALTEL - EUSKADI,2 PTS,,7,2010,,,,Côte des Granges (DESSIA) - 165.5 km
3,SAMUEL DUMOULIN,173,COFIDIS LE CREDIT EN LIGNE,1 PTS,,7,2010,,,,Côte des Granges (DESSIA) - 165.5 km
1,JÉRÔME PINEAU,135,QUICK STEP,4 PTS,,7,2010,,,,Côte d'Arinthod - 165.5 km
2,RUBEN PEREZ MORENO,186,EUSKALTEL - EUSKADI,3 PTS,,7,2010,,,,Côte d'Arinthod - 165.5 km
3,SAMUEL DUMOULIN,173,COFIDIS LE CREDIT EN LIGNE,2 PTS,,7,2010,,,,Côte d'Arinthod - 165.5 km
4,DANILO HONDO,205,LAMPRE - FARNESE,1 PTS,,7,2010,,,,Côte d'Arinthod - 165.5 km
1,JÉRÔME PINEAU,135,QUICK STEP,10 PTS,,7,2010,,,,Côte du barrage de Vouglans - 165.5 km
2,RUBEN PEREZ MORENO,186,EUSKALTEL - EUSKADI,9 PTS,,7,2010,,,,Côte du barrage de Vouglans - 165.5 km
3,CHRISTIAN KNEES,145,TEAM MILRAM,8 PTS,,7,2010,,,,Côte du barrage de Vouglans - 165.5 km
4,SAMUEL DUMOULIN,173,COFIDIS LE CREDIT EN LIGNE,7 PTS,,7,2010,,,,Côte du barrage de Vouglans - 165.5 km
5,DANILO HONDO,205,LAMPRE - FARNESE,6 PTS,,7,2010,,,,Côte du barrage de Vouglans - 165.5 km
6,ANTHONY CHARTEAU,153,BBOX BOUYGUES TELECOM,5 PTS,,7,2010,,,,Côte du barrage de Vouglans - 165.5 km
1,JÉRÔME PINEAU,135,QUICK STEP,10 PTS,,7,2010,,,,Col de la Croix de la Serra - 165.5 km
2,DANILO HONDO,205,LAMPRE - FARNESE,9 PTS,,7,2010,,,,Col de la Croix de la Serra - 165.5 km
3,SYLVAIN CHAVANEL,131,QUICK STEP,8 PTS,,7,2010,,,,Col de la Croix de la Serra - 165.5 km
4,THOMAS VOECKLER,151,BBOX BOUYGUES TELECOM,7 PTS,,7,2010,,,,Col de la Croix de la Serra - 165.5 km
5,MATHIEU PERGET,167,CAISSE D'EPARGNE,6 PTS,,7,2010,,,,Col de la Croix de la Serra - 165.5 km
6,DAMIANO CUNEGO,201,LAMPRE - FARNESE,5 PTS,,7,2010,,,,Col de la Croix de la Serra - 165.5 km
1,SYLVAIN CHAVANEL,131,QUICK STEP,20 PTS,,7,2010,,,,Côte de Lamoura - 165.5 km
2,RAFAEL VALLS,219,FOOTON-SERVETTO,18 PTS,,7,2010,,,,Côte de Lamoura - 165.5 km
3,JUAN MANUEL GARATE,194,RABOBANK,16 PTS,,7,2010,,,,Côte de Lamoura - 165.5 km
4,THOMAS VOECKLER,151,BBOX BOUYGUES TELECOM,14 PTS,,7,2010,,,,Côte de Lamoura - 165.5 km
5,DANIEL MORENO FERNANDEZ,107,OMEGA PHARMA - LOTTO,12 PTS,,7,2010,,,,Côte de Lamoura - 165.5 km
6,MATHIEU PERGET,167,CAISSE D'EPARGNE,10 PTS,,7,2010,,,,Côte de Lamoura - 165.5 km
1,REIN TAARAMÄE,171,COFIDIS LE CREDIT EN LIGNE,3 PTS,,8,2010,,,,Côte de la Petite Joux - 189 km
2,JOHANNES FRÖHLINGER,143,TEAM MILRAM,2 PTS,,8,2010,,,,Côte de la Petite Joux - 189 km
3,CHRISTOPHE MOREAU,166,CAISSE D'EPARGNE,1 PTS,,8,2010,,,,Côte de la Petite Joux - 189 km
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,3 PTS,,8,2010,,,,Côte de Grésin - 189 km
2,KOOS MOERENHOUT,196,RABOBANK,2 PTS,,8,2010,,,,Côte de Grésin - 189 km
3,AMAEL MOINARD,177,COFIDIS LE CREDIT EN LIGNE,1 PTS,,8,2010,,,,Côte de Grésin - 189 km
1,MARIO AERTS,102,OMEGA PHARMA - LOTTO,15 PTS,,8,2010,,,,Col de la Ramaz - 189 km
2,KOOS MOERENHOUT,196,RABOBANK,13 PTS,,8,2010,,,,Col de la Ramaz - 189 km
