Rank,Rider,Rider No.,Team,Points,Unnamed: 5,Stages,Year,Times,B,P,Segment
2,ARNOLD JEANNESSON,77,FDJ.FR,3 PTS,,18,2013,,,,Col de Manse - 172.5 km
3,THOMAS VOECKLER,59,TEAM EUROPCAR,2 PTS,,18,2013,,,,Col de Manse - 172.5 km
4,JOHN GADRET,86,AG2R LA MONDIALE,1 PTS,,18,2013,,,,Col de Manse - 172.5 km
1,THOMAS DANIELSON,173,GARMIN - SHARP,2 PTS,,18,2013,,,,Rampe du Motty - 172.5 km
2,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,1 PTS,,18,2013,,,,Rampe du Motty - 172.5 km
1,ARNOLD JEANNESSON,77,FDJ.FR,5 PTS,,18,2013,,,,Col d'Ornon (1 371 m) - 172.5 km
2,SYLVAIN CHAVANEL,152,OMEGA PHARMA-QUICK STEP,3 PTS,,18,2013,,,,Col d'Ornon (1 371 m) - 172.5 km
3,JENS VOIGT,48,RADIOSHACK LEOPARD,2 PTS,,18,2013,,,,Col d'Ornon (1 371 m) - 172.5 km
4,THOMAS DANIELSON,173,GARMIN - SHARP,1 PTS,,18,2013,,,,Col d'Ornon (1 371 m) - 172.5 km
1,MORENO MOSER,17,CANNONDALE,25 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
2,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,20 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
3,TEJAY VAN GARDEREN,39,BMC RACING TEAM,16 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
4,JENS VOIGT,48,RADIOSHACK LEOPARD,14 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
5,THOMAS DANIELSON,173,GARMIN - SHARP,12 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
6,ARNOLD JEANNESSON,77,FDJ.FR,10 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
7,LARS BOOM,161,BELKIN PRO CYCLING,8 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
8,ANDREY AMADOR,122,MOVISTAR TEAM,6 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
9,SYLVAIN CHAVANEL,152,OMEGA PHARMA-QUICK STEP,4 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
10,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,2 PTS,,18,2013,,,,Alpe d'Huez 1 - 172.5 km
1,TEJAY VAN GARDEREN,39,BMC RACING TEAM,5 PTS,,18,2013,,,,Col de Sarenne - 172.5 km
2,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,3 PTS,,18,2013,,,,Col de Sarenne - 172.5 km
3,JENS VOIGT,48,RADIOSHACK LEOPARD,2 PTS,,18,2013,,,,Col de Sarenne - 172.5 km
4,MORENO MOSER,17,CANNONDALE,1 PTS,,18,2013,,,,Col de Sarenne - 172.5 km
1,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,50 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
2,TEJAY VAN GARDEREN,39,BMC RACING TEAM,40 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
3,MORENO MOSER,17,CANNONDALE,32 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
4,NAIRO QUINTANA,128,MOVISTAR TEAM,28 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
5,JOAQUIN RODRIGUEZ OLIVER,101,KATUSHA TEAM,24 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
6,RICHIE PORTE,6,SKY PROCYCLING,20 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
7,CHRIS FROOME,1,SKY PROCYCLING,16 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
8,ALEJANDRO VALVERDE,121,MOVISTAR TEAM,12 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
9,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,8 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
10,JAKOB FUGLSANG,63,ASTANA PRO TEAM,4 PTS,,18,2013,,,,Alpe d'Huez 2 - 172.5 km
1,RYDER HESJEDAL,171,GARMIN - SHARP,25 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
2,ION IZAGIRRE INSAUSTI,114,EUSKALTEL - EUSKADI,20 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
3,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,16 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
4,MORENO MOSER,17,CANNONDALE,14 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
5,PIERRE ROLLAND,51,TEAM EUROPCAR,12 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
6,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,10 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
7,BLEL KADRI,87,AG2R LA MONDIALE,8 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
8,TONY MARTIN,154,OMEGA PHARMA-QUICK STEP,6 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
9,JOHNNY HOOGERLAND,205,VACANSOLEIL-DCM,4 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
10,LAURENT DIDIER,43,RADIOSHACK LEOPARD,2 PTS,,19,2013,,,,Col du Glandon (1 924 m) - 204.5 km
1,PIERRE ROLLAND,51,TEAM EUROPCAR,25 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
2,RYDER HESJEDAL,171,GARMIN - SHARP,20 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
3,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,16 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
4,JAN BAKELANTS,42,RADIOSHACK LEOPARD,14 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
5,SIMON GESCHKE,196,TEAM ARGOS-SHIMANO,12 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
6,RUI COSTA,124,MOVISTAR TEAM,10 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
7,LAURENT DIDIER,43,RADIOSHACK LEOPARD,8 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
8,ROMAIN SICARD,119,EUSKALTEL - EUSKADI,6 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
9,ANDREAS KLÖDEN,46,RADIOSHACK LEOPARD,4 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
10,RUBEN PLAZA MOLINA,127,MOVISTAR TEAM,2 PTS,,19,2013,,,,Col de la Madeleine - 204.5 km
1,PIERRE ROLLAND,51,TEAM EUROPCAR,5 PTS,,19,2013,,,,- 204.5 km
2,ROMAIN SICARD,119,EUSKALTEL - EUSKADI,3 PTS,,19,2013,,,,- 204.5 km
3,JOSÉ SERPA,149,LAMPRE - MERIDA,2 PTS,,19,2013,,,,- 204.5 km
4,BART DE CLERCQ,23,LOTTO-BELISOL,1 PTS,,19,2013,,,,- 204.5 km
1,PIERRE ROLLAND,51,TEAM EUROPCAR,10 PTS,,19,2013,,,,- 204.5 km
2,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,8 PTS,,19,2013,,,,- 204.5 km
3,JAN BAKELANTS,42,RADIOSHACK LEOPARD,6 PTS,,19,2013,,,,- 204.5 km
4,JÉRÔME COPPEL,133,"COFIDIS, SOLUTIONS CREDITS",4 PTS,,19,2013,,,,- 204.5 km
5,TOM DUMOULIN,194,TEAM ARGOS-SHIMANO,2 PTS,,19,2013,,,,- 204.5 km
6,DANIEL NAVARRO GARCIA,139,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,19,2013,,,,- 204.5 km
1,RUI COSTA,124,MOVISTAR TEAM,10 PTS,,19,2013,,,,Col de la Croix Fry (1 477 m) - 204.5 km
2,ANDREAS KLÖDEN,46,RADIOSHACK LEOPARD,8 PTS,,19,2013,,,,Col de la Croix Fry (1 477 m) - 204.5 km
3,JAN BAKELANTS,42,RADIOSHACK LEOPARD,6 PTS,,19,2013,,,,Col de la Croix Fry (1 477 m) - 204.5 km
4,DANIEL NAVARRO GARCIA,139,"COFIDIS, SOLUTIONS CREDITS",4 PTS,,19,2013,,,,Col de la Croix Fry (1 477 m) - 204.5 km
5,BART DE CLERCQ,23,LOTTO-BELISOL,2 PTS,,19,2013,,,,Col de la Croix Fry (1 477 m) - 204.5 km
6,MIKEL NIEVE ITURRALDE,116,EUSKALTEL - EUSKADI,1 PTS,,19,2013,,,,Col de la Croix Fry (1 477 m) - 204.5 km
1,PIERRE ROLLAND,51,TEAM EUROPCAR,5 PTS,,20,2013,,,,- 125 km
2,JUAN ANTONIO FLECHA GIANNONI,204,VACANSOLEIL-DCM,3 PTS,,20,2013,,,,- 125 km
3,JENS VOIGT,48,RADIOSHACK LEOPARD,2 PTS,,20,2013,,,,- 125 km
4,MARCUS BURGHARDT,33,BMC RACING TEAM,1 PTS,,20,2013,,,,- 125 km
1,IGOR ANTON HERNANDEZ,111,EUSKALTEL - EUSKADI,2 PTS,,20,2013,,,,Col de Leschaux - 125 km
2,PIERRE ROLLAND,51,TEAM EUROPCAR,1 PTS,,20,2013,,,,Col de Leschaux - 125 km
1,PIERRE ROLLAND,51,TEAM EUROPCAR,2 PTS,,20,2013,,,,- 125 km
2,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,1 PTS,,20,2013,,,,- 125 km
1,PIERRE ROLLAND,51,TEAM EUROPCAR,2 PTS,,20,2013,,,,- 125 km
2,IGOR ANTON HERNANDEZ,111,EUSKALTEL - EUSKADI,1 PTS,,20,2013,,,,- 125 km
1,JENS VOIGT,48,RADIOSHACK LEOPARD,10 PTS,,20,2013,,,,Mont Revard - 125 km
2,IGOR ANTON HERNANDEZ,111,EUSKALTEL - EUSKADI,8 PTS,,20,2013,,,,Mont Revard - 125 km
3,PIERRE ROLLAND,51,TEAM EUROPCAR,6 PTS,,20,2013,,,,Mont Revard - 125 km
4,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,4 PTS,,20,2013,,,,Mont Revard - 125 km
5,PHILIPPE GILBERT,34,BMC RACING TEAM,2 PTS,,20,2013,,,,Mont Revard - 125 km
6,TEJAY VAN GARDEREN,39,BMC RACING TEAM,1 PTS,,20,2013,,,,Mont Revard - 125 km
1,NAIRO QUINTANA,128,MOVISTAR TEAM,50 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
2,JOAQUIN RODRIGUEZ OLIVER,101,KATUSHA TEAM,40 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
3,CHRIS FROOME,1,SKY PROCYCLING,32 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
4,ALEJANDRO VALVERDE,121,MOVISTAR TEAM,28 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
5,RICHIE PORTE,6,SKY PROCYCLING,24 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
6,ANDREW TALANSKY,178,GARMIN - SHARP,20 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
7,ALBERTO CONTADOR,91,TEAM SAXO-TINKOFF,16 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
8,JOHN GADRET,86,AG2R LA MONDIALE,12 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
9,JESUS ALBERTO HERNANDEZ BLAZQUEZ,93,TEAM SAXO-TINKOFF,8 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
10,ROMAN KREUZIGER,94,TEAM SAXO-TINKOFF,4 PTS,,20,2013,,,,Annecy-Semnoz - 125 km
1,GERT STEEGMANS,156,OMEGA PHARMA-QUICK STEP,1 PTS,,21,2013,,,,Côte de Saint-Rémy-lès-Chevreuse - 133.5 km
1,JOSÉ ROJAS,129,MOVISTAR TEAM,1 PTS,,21,2013,,,,Côte de Châteaufort (Stèle Jacques Anquetil) - 133.5 km
1,BENOIT JARRIER,218,BRETAGNE - SECHE ENVIRONNEMENT,1 PTS,,1,2014,,,,- 190.5 km
1,JENS VOIGT,168,TREK FACTORY RACING,2 PTS,,1,2014,,,,- 190.5 km
2,NICOLAS EDET,172,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,1,2014,,,,- 190.5 km
1,JENS VOIGT,168,TREK FACTORY RACING,2 PTS,,1,2014,,,,- 190.5 km
2,LARS BAK YTTING,132,LOTTO-BELISOL,1 PTS,,1,2014,,,,- 190.5 km
1,CYRIL LEMOINE,174,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,2,2014,,,,- 201 km
1,PERRIG QUEMENEUR,157,TEAM EUROPCAR,2 PTS,,2,2014,,,,- 201 km
2,CYRIL LEMOINE,174,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,2,2014,,,,- 201 km
1,CYRIL LEMOINE,174,"COFIDIS, SOLUTIONS CREDITS",2 PTS,,2,2014,,,,- 201 km
2,DAVID DE LA CRUZ MELGAREJO,203,TEAM NETAPP-ENDURA,1 PTS,,2,2014,,,,- 201 km
1,CYRIL LEMOINE,174,"COFIDIS, SOLUTIONS CREDITS",2 PTS,,2,2014,,,,- 201 km
2,DAVID DE LA CRUZ MELGAREJO,203,TEAM NETAPP-ENDURA,1 PTS,,2,2014,,,,- 201 km
1,BLEL KADRI,86,AG2R LA MONDIALE,5 PTS,,2,2014,,,,- 201 km
2,NICOLAS EDET,172,"COFIDIS, SOLUTIONS CREDITS",3 PTS,,2,2014,,,,- 201 km
3,THOMAS VOECKLER,159,TEAM EUROPCAR,2 PTS,,2,2014,,,,- 201 km
4,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,1 PTS,,2,2014,,,,- 201 km
1,TOM-JELTE SLAGTER,98,GARMIN - SHARP,2 PTS,,2,2014,,,,- 201 km
2,ANDREW TALANSKY,91,GARMIN - SHARP,1 PTS,,2,2014,,,,- 201 km
1,ANDREY GRIVKO,43,ASTANA PRO TEAM,1 PTS,,2,2014,,,,- 201 km
1,PIERRE ROLLAND,151,TEAM EUROPCAR,2 PTS,,2,2014,,,,- 201 km
2,JEAN-CHRISTOPHE PÉRAUD,81,AG2R LA MONDIALE,1 PTS,,2,2014,,,,- 201 km
1,CHRIS FROOME,1,TEAM SKY,1 PTS,,2,2014,,,,- 201 km
1,LUIS ANGEL MATE MARDONES,175,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,4,2014,,,,- 163 km
1,THOMAS VOECKLER,159,TEAM EUROPCAR,1 PTS,,4,2014,,,,Mont Noir - 163 km
1,LUIS ANGEL MATE MARDONES,175,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,6,2014,,,,- 194 km
1,LUIS ANGEL MATE MARDONES,175,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,6,2014,,,,- 194 km
1,SIMON YATES,189,ORICA GREENEDGE,1 PTS,,7,2014,,,,- 234.5 km
1,GREG VAN AVERMAET,148,BMC RACING TEAM,1 PTS,,7,2014,,,,- 234.5 km
1,BLEL KADRI,86,AG2R LA MONDIALE,5 PTS,,8,2014,,,,Col de la Croix des Moinats (891 m) - 161 km
2,SYLVAIN CHAVANEL,192,IAM CYCLING,3 PTS,,8,2014,,,,Col de la Croix des Moinats (891 m) - 161 km
3,SIMON YATES,189,ORICA GREENEDGE,2 PTS,,8,2014,,,,Col de la Croix des Moinats (891 m) - 161 km
4,NIKI TERPSTRA,78,OMEGA PHARMA-QUICK STEP,1 PTS,,8,2014,,,,Col de la Croix des Moinats (891 m) - 161 km
1,BLEL KADRI,86,AG2R LA MONDIALE,5 PTS,,8,2014,,,,Col de Grosse Pierre (901 m) - 161 km
2,SYLVAIN CHAVANEL,192,IAM CYCLING,3 PTS,,8,2014,,,,Col de Grosse Pierre (901 m) - 161 km
3,SIMON YATES,189,ORICA GREENEDGE,2 PTS,,8,2014,,,,Col de Grosse Pierre (901 m) - 161 km
4,NIKI TERPSTRA,78,OMEGA PHARMA-QUICK STEP,1 PTS,,8,2014,,,,Col de Grosse Pierre (901 m) - 161 km
1,BLEL KADRI,86,AG2R LA MONDIALE,2 PTS,,8,2014,,,,- 161 km
2,ALBERTO CONTADOR,31,TINKOFF-SAXO,1 PTS,,8,2014,,,,- 161 km
1,THOMAS VOECKLER,159,TEAM EUROPCAR,5 PTS,,9,2014,,,,Col de la Schlucht (1 140 m) - 170 km
2,NICOLAS EDET,172,"COFIDIS, SOLUTIONS CREDITS",3 PTS,,9,2014,,,,Col de la Schlucht (1 140 m) - 170 km
3,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,2 PTS,,9,2014,,,,Col de la Schlucht (1 140 m) - 170 km
4,TOM DUMOULIN,106,TEAM GIANT-SHIMANO,1 PTS,,9,2014,,,,Col de la Schlucht (1 140 m) - 170 km
1,ALESSANDRO DE MARCHI,53,CANNONDALE,2 PTS,,9,2014,,,,Col du Wettstein - 170 km
2,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,1 PTS,,9,2014,,,,Col du Wettstein - 170 km
1,ALESSANDRO DE MARCHI,53,CANNONDALE,2 PTS,,9,2014,,,,- 170 km
2,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,1 PTS,,9,2014,,,,- 170 km
1,ALESSANDRO DE MARCHI,53,CANNONDALE,5 PTS,,9,2014,,,,- 170 km
2,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,3 PTS,,9,2014,,,,- 170 km
3,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,2 PTS,,9,2014,,,,- 170 km
4,NICOLAS EDET,172,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,9,2014,,,,- 170 km
1,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,10 PTS,,9,2014,,,,Le Markstein (1 183 m) - 170 km
2,ALESSANDRO DE MARCHI,53,CANNONDALE,8 PTS,,9,2014,,,,Le Markstein (1 183 m) - 170 km
3,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,6 PTS,,9,2014,,,,Le Markstein (1 183 m) - 170 km
4,NICOLAS EDET,172,"COFIDIS, SOLUTIONS CREDITS",4 PTS,,9,2014,,,,Le Markstein (1 183 m) - 170 km
5,BRICE FEILLU,211,BRETAGNE - SECHE ENVIRONNEMENT,2 PTS,,9,2014,,,,Le Markstein (1 183 m) - 170 km
6,TIAGO MACHADO,206,TEAM NETAPP-ENDURA,1 PTS,,9,2014,,,,Le Markstein (1 183 m) - 170 km
1,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,2 PTS,,9,2014,,,,Grand Ballon - 170 km
2,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,1 PTS,,9,2014,,,,Grand Ballon - 170 km
1,THOMAS VOECKLER,159,TEAM EUROPCAR,5 PTS,,10,2014,,,,Col du Firstplan (722 m) - 161.5 km
2,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,3 PTS,,10,2014,,,,Col du Firstplan (722 m) - 161.5 km
3,PETER SAGAN,51,CANNONDALE,2 PTS,,10,2014,,,,Col du Firstplan (722 m) - 161.5 km
4,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,1 PTS,,10,2014,,,,Col du Firstplan (722 m) - 161.5 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,10 PTS,,10,2014,,,,Petit Ballon (1 163 m) - 161.5 km
2,THOMAS VOECKLER,159,TEAM EUROPCAR,8 PTS,,10,2014,,,,Petit Ballon (1 163 m) - 161.5 km
3,AMAEL MOINARD,144,BMC RACING TEAM,6 PTS,,10,2014,,,,Petit Ballon (1 163 m) - 161.5 km
4,LIEUWE WESTRA,49,ASTANA PRO TEAM,4 PTS,,10,2014,,,,Petit Ballon (1 163 m) - 161.5 km
5,GIOVANNI VISCONTI,19,MOVISTAR TEAM,2 PTS,,10,2014,,,,Petit Ballon (1 163 m) - 161.5 km
6,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,1 PTS,,10,2014,,,,Petit Ballon (1 163 m) - 161.5 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,10 PTS,,10,2014,,,,Col du Platzerwasel (1 193 m) - 161.5 km
2,THOMAS VOECKLER,159,TEAM EUROPCAR,8 PTS,,10,2014,,,,Col du Platzerwasel (1 193 m) - 161.5 km
3,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,6 PTS,,10,2014,,,,Col du Platzerwasel (1 193 m) - 161.5 km
4,MICHAL KWIATKOWSKI,74,OMEGA PHARMA-QUICK STEP,4 PTS,,10,2014,,,,Col du Platzerwasel (1 193 m) - 161.5 km
5,GIOVANNI VISCONTI,19,MOVISTAR TEAM,2 PTS,,10,2014,,,,Col du Platzerwasel (1 193 m) - 161.5 km
6,REIN TAARAMÄE,179,"COFIDIS, SOLUTIONS CREDITS",1 PTS,,10,2014,,,,Col du Platzerwasel (1 193 m) - 161.5 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,5 PTS,,10,2014,,,,Col d'Oderen (884 m) - 161.5 km
2,THOMAS VOECKLER,159,TEAM EUROPCAR,3 PTS,,10,2014,,,,Col d'Oderen (884 m) - 161.5 km
3,TONY MARTIN,75,OMEGA PHARMA-QUICK STEP,2 PTS,,10,2014,,,,Col d'Oderen (884 m) - 161.5 km
4,MICHAL KWIATKOWSKI,74,OMEGA PHARMA-QUICK STEP,1 PTS,,10,2014,,,,Col d'Oderen (884 m) - 161.5 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,2 PTS,,10,2014,,,,Col des Croix - 161.5 km
2,THOMAS VOECKLER,159,TEAM EUROPCAR,1 PTS,,10,2014,,,,Col des Croix - 161.5 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,10 PTS,,10,2014,,,,- 161.5 km
2,GIOVANNI VISCONTI,19,MOVISTAR TEAM,8 PTS,,10,2014,,,,- 161.5 km
3,MICHAL KWIATKOWSKI,74,OMEGA PHARMA-QUICK STEP,6 PTS,,10,2014,,,,- 161.5 km
4,AMAEL MOINARD,144,BMC RACING TEAM,4 PTS,,10,2014,,,,- 161.5 km
5,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,2 PTS,,10,2014,,,,- 161.5 km
6,THOMAS VOECKLER,159,TEAM EUROPCAR,1 PTS,,10,2014,,,,- 161.5 km
1,VINCENZO NIBALI,41,ASTANA PRO TEAM,20 PTS,,10,2014,,,,La Planche des Belles Filles (1 035 m) - 161.5 km
2,THIBAUT PINOT,127,FDJ.FR,16 PTS,,10,2014,,,,La Planche des Belles Filles (1 035 m) - 161.5 km
3,ALEJANDRO VALVERDE,11,MOVISTAR TEAM,12 PTS,,10,2014,,,,La Planche des Belles Filles (1 035 m) - 161.5 km
4,JEAN-CHRISTOPHE PÉRAUD,81,AG2R LA MONDIALE,8 PTS,,10,2014,,,,La Planche des Belles Filles (1 035 m) - 161.5 km
5,ROMAIN BARDET,82,AG2R LA MONDIALE,4 PTS,,10,2014,,,,La Planche des Belles Filles (1 035 m) - 161.5 km
6,TEJAY VAN GARDEREN,141,BMC RACING TEAM,2 PTS,,10,2014,,,,La Planche des Belles Filles (1 035 m) - 161.5 km
1,MARTIN ELMIGER,193,IAM CYCLING,2 PTS,,11,2014,,,,- 187.5 km
2,JAN BAKELANTS,72,OMEGA PHARMA-QUICK STEP,1 PTS,,11,2014,,,,- 187.5 km
1,MARTIN ELMIGER,193,IAM CYCLING,2 PTS,,11,2014,,,,- 187.5 km
2,NICOLAS ROCHE,37,TINKOFF-SAXO,1 PTS,,11,2014,,,,- 187.5 km
1,MARTIN ELMIGER,193,IAM CYCLING,1 PTS,,11,2014,,,,- 187.5 km
1,NICOLAS ROCHE,37,TINKOFF-SAXO,2 PTS,,11,2014,,,,- 187.5 km
2,ALESSANDRO DE MARCHI,53,CANNONDALE,1 PTS,,11,2014,,,,- 187.5 km
1,DAVID DE LA CRUZ MELGAREJO,203,TEAM NETAPP-ENDURA,1 PTS,,12,2014,,,,Col de Brouilly - 185.5 km
1,DAVID DE LA CRUZ MELGAREJO,203,TEAM NETAPP-ENDURA,2 PTS,,12,2014,,,,- 185.5 km
2,GREGORY RAST,165,TREK FACTORY RACING,1 PTS,,12,2014,,,,- 185.5 km
1,SEBASTIAN LANGEVELD,96,GARMIN - SHARP,2 PTS,,12,2014,,,,Col des Brosses - 185.5 km
2,SIMON CLARKE,183,ORICA GREENEDGE,1 PTS,,12,2014,,,,Col des Brosses - 185.5 km
1,SIMON CLARKE,183,ORICA GREENEDGE,1 PTS,,12,2014,,,,- 185.5 km
1,GIOVANNI VISCONTI,19,MOVISTAR TEAM,2 PTS,,13,2014,,,,Col de la Croix de Montvieux - 197 km
2,BLEL KADRI,86,AG2R LA MONDIALE,1 PTS,,13,2014,,,,Col de la Croix de Montvieux - 197 km
1,ALESSANDRO DE MARCHI,53,CANNONDALE,10 PTS,,13,2014,,,,Col de Palaquit (1 154 m) (D57-D512) - 197 km
2,JAN BAKELANTS,72,OMEGA PHARMA-QUICK STEP,8 PTS,,13,2014,,,,Col de Palaquit (1 154 m) (D57-D512) - 197 km
3,LUIS ANGEL MATE MARDONES,175,"COFIDIS, SOLUTIONS CREDITS",6 PTS,,13,2014,,,,Col de Palaquit (1 154 m) (D57-D512) - 197 km
4,JÉRÔME PINEAU,197,IAM CYCLING,4 PTS,,13,2014,,,,Col de Palaquit (1 154 m) (D57-D512) - 197 km
5,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,2 PTS,,13,2014,,,,Col de Palaquit (1 154 m) (D57-D512) - 197 km
6,THIBAUT PINOT,127,FDJ.FR,1 PTS,,13,2014,,,,Col de Palaquit (1 154 m) (D57-D512) - 197 km
1,VINCENZO NIBALI,41,ASTANA PRO TEAM,50 PTS,,13,2014,,,,- 197 km
2,RAFAL MAJKA,34,TINKOFF-SAXO,40 PTS,,13,2014,,,,- 197 km
3,LEOPOLD KONIG,201,TEAM NETAPP-ENDURA,32 PTS,,13,2014,,,,- 197 km
4,ALEJANDRO VALVERDE,11,MOVISTAR TEAM,28 PTS,,13,2014,,,,- 197 km
5,THIBAUT PINOT,127,FDJ.FR,24 PTS,,13,2014,,,,- 197 km
6,TEJAY VAN GARDEREN,141,BMC RACING TEAM,20 PTS,,13,2014,,,,- 197 km
7,ROMAIN BARDET,82,AG2R LA MONDIALE,16 PTS,,13,2014,,,,- 197 km
8,LAURENS TEN DAM,67,BELKIN PRO CYCLING,12 PTS,,13,2014,,,,- 197 km
9,JEAN-CHRISTOPHE PÉRAUD,81,AG2R LA MONDIALE,8 PTS,,13,2014,,,,- 197 km
10,FRANK SCHLECK,161,TREK FACTORY RACING,4 PTS,,13,2014,,,,- 197 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,10 PTS,,14,2014,,,,Col du Lautaret (2 058 m) - 177 km
2,RAFAL MAJKA,34,TINKOFF-SAXO,8 PTS,,14,2014,,,,Col du Lautaret (2 058 m) - 177 km
3,NICOLAS ROCHE,37,TINKOFF-SAXO,6 PTS,,14,2014,,,,Col du Lautaret (2 058 m) - 177 km
4,JOSÉ SERPA,118,LAMPRE - MERIDA,4 PTS,,14,2014,,,,Col du Lautaret (2 058 m) - 177 km
5,ALESSANDRO DE MARCHI,53,CANNONDALE,2 PTS,,14,2014,,,,Col du Lautaret (2 058 m) - 177 km
6,CHRISTOPHE RIBLON,89,AG2R LA MONDIALE,1 PTS,,14,2014,,,,Col du Lautaret (2 058 m) - 177 km
1,JOAQUIM RODRIGUEZ,21,TEAM KATUSHA,25 PTS,,14,2014,,,,Col d'Izoard (2 360 m) - Souvenir Henri Desgrange - 177 km
