Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
18,ASTANA PRO TEAM,215h 53' 45'',+ 03h 24' 19'',18,2013,,,,
19,ORICA GREENEDGE,216h 43' 31'',+ 04h 14' 05'',18,2013,,,,
20,LOTTO-BELISOL,217h 09' 05'',+ 04h 39' 39'',18,2013,,,,
21,CANNONDALE,217h 22' 04'',+ 04h 52' 38'',18,2013,,,,
22,TEAM ARGOS-SHIMANO,217h 35' 56'',+ 05h 06' 30'',18,2013,,,,
1,TEAM SAXO-TINKOFF,230h 46' 35'',-,19,2013,,,,
2,RADIOSHACK LEOPARD,230h 50' 14'',+ 00h 03' 39'',19,2013,,,,
3,AG2R LA MONDIALE,230h 54' 12'',+ 00h 07' 37'',19,2013,,,,
4,MOVISTAR TEAM,231h 02' 26'',+ 00h 15' 51'',19,2013,,,,
5,BELKIN PRO CYCLING,231h 15' 59'',+ 00h 29' 24'',19,2013,,,,
6,KATUSHA TEAM,231h 42' 46'',+ 00h 56' 11'',19,2013,,,,
7,EUSKALTEL - EUSKADI,232h 06' 48'',+ 01h 20' 13'',19,2013,,,,
8,OMEGA PHARMA-QUICK STEP,232h 23' 37'',+ 01h 37' 02'',19,2013,,,,
9,GARMIN - SHARP,232h 32' 50'',+ 01h 46' 15'',19,2013,,,,
10,BMC RACING TEAM,232h 32' 59'',+ 01h 46' 24'',19,2013,,,,
11,SKY PROCYCLING,232h 33' 46'',+ 01h 47' 11'',19,2013,,,,
12,"COFIDIS, SOLUTIONS CREDITS",232h 43' 31'',+ 01h 56' 56'',19,2013,,,,
13,TEAM EUROPCAR,233h 00' 16'',+ 02h 13' 41'',19,2013,,,,
14,FDJ.FR,233h 13' 23'',+ 02h 26' 48'',19,2013,,,,
15,LAMPRE - MERIDA,234h 18' 49'',+ 03h 32' 14'',19,2013,,,,
16,SOJASUN,234h 20' 25'',+ 03h 33' 50'',19,2013,,,,
17,VACANSOLEIL-DCM,234h 38' 40'',+ 03h 52' 05'',19,2013,,,,
18,ASTANA PRO TEAM,234h 59' 09'',+ 04h 12' 34'',19,2013,,,,
19,ORICA GREENEDGE,235h 45' 22'',+ 04h 58' 47'',19,2013,,,,
20,LOTTO-BELISOL,236h 05' 06'',+ 05h 18' 31'',19,2013,,,,
21,TEAM ARGOS-SHIMANO,236h 09' 06'',+ 05h 22' 31'',19,2013,,,,
22,CANNONDALE,236h 15' 50'',+ 05h 29' 15'',19,2013,,,,
1,TEAM SAXO-TINKOFF,241h 52' 05'',-,20,2013,,,,
2,AG2R LA MONDIALE,242h 00' 35'',+ 00h 08' 30'',20,2013,,,,
3,RADIOSHACK LEOPARD,242h 00' 57'',+ 00h 08' 52'',20,2013,,,,
4,MOVISTAR TEAM,242h 14' 50'',+ 00h 22' 45'',20,2013,,,,
5,BELKIN PRO CYCLING,242h 30' 31'',+ 00h 38' 26'',20,2013,,,,
6,KATUSHA TEAM,242h 55' 53'',+ 01h 03' 48'',20,2013,,,,
7,EUSKALTEL - EUSKADI,243h 22' 45'',+ 01h 30' 40'',20,2013,,,,
8,OMEGA PHARMA-QUICK STEP,243h 42' 30'',+ 01h 50' 25'',20,2013,,,,
9,SKY PROCYCLING,243h 46' 28'',+ 01h 54' 23'',20,2013,,,,
10,"COFIDIS, SOLUTIONS CREDITS",243h 59' 12'',+ 02h 07' 07'',20,2013,,,,
11,GARMIN - SHARP,244h 05' 09'',+ 02h 13' 04'',20,2013,,,,
12,BMC RACING TEAM,244h 18' 24'',+ 02h 26' 19'',20,2013,,,,
13,TEAM EUROPCAR,244h 24' 44'',+ 02h 32' 39'',20,2013,,,,
14,FDJ.FR,244h 42' 56'',+ 02h 50' 51'',20,2013,,,,
15,SOJASUN,245h 39' 23'',+ 03h 47' 18'',20,2013,,,,
16,LAMPRE - MERIDA,245h 58' 33'',+ 04h 06' 28'',20,2013,,,,
17,VACANSOLEIL-DCM,246h 18' 17'',+ 04h 26' 12'',20,2013,,,,
18,ASTANA PRO TEAM,246h 49' 31'',+ 04h 57' 26'',20,2013,,,,
19,ORICA GREENEDGE,247h 28' 59'',+ 05h 36' 54'',20,2013,,,,
20,LOTTO-BELISOL,247h 50' 50'',+ 05h 58' 45'',20,2013,,,,
21,TEAM ARGOS-SHIMANO,248h 01' 47'',+ 06h 09' 42'',20,2013,,,,
22,CANNONDALE,248h 13' 14'',+ 06h 21' 09'',20,2013,,,,
1,TEAM SAXO-TINKOFF,251h 11' 07'',-,21,2013,,,,
2,AG2R LA MONDIALE,251h 19' 35'',+ 00h 08' 28'',21,2013,,,,
3,RADIOSHACK LEOPARD,251h 20' 09'',+ 00h 09' 02'',21,2013,,,,
4,MOVISTAR TEAM,251h 33' 56'',+ 00h 22' 49'',21,2013,,,,
5,BELKIN PRO CYCLING,251h 49' 37'',+ 00h 38' 30'',21,2013,,,,
6,KATUSHA TEAM,252h 14' 55'',+ 01h 03' 48'',21,2013,,,,
7,EUSKALTEL - EUSKADI,252h 41' 41'',+ 01h 30' 34'',21,2013,,,,
8,OMEGA PHARMA-QUICK STEP,253h 01' 32'',+ 01h 50' 25'',21,2013,,,,
9,SKY PROCYCLING,253h 07' 49'',+ 01h 56' 42'',21,2013,,,,
10,"COFIDIS, SOLUTIONS CREDITS",253h 18' 18'',+ 02h 07' 11'',21,2013,,,,
11,GARMIN - SHARP,253h 24' 39'',+ 02h 13' 32'',21,2013,,,,
12,BMC RACING TEAM,253h 37' 30'',+ 02h 26' 23'',21,2013,,,,
13,TEAM EUROPCAR,253h 43' 36'',+ 02h 32' 29'',21,2013,,,,
14,FDJ.FR,254h 01' 58'',+ 02h 50' 51'',21,2013,,,,
15,SOJASUN,254h 58' 29'',+ 03h 47' 22'',21,2013,,,,
16,LAMPRE - MERIDA,255h 17' 54'',+ 04h 06' 47'',21,2013,,,,
17,VACANSOLEIL-DCM,255h 37' 47'',+ 04h 26' 40'',21,2013,,,,
18,ASTANA PRO TEAM,256h 09' 07'',+ 04h 58' 00'',21,2013,,,,
19,ORICA GREENEDGE,256h 47' 51'',+ 05h 36' 44'',21,2013,,,,
20,LOTTO-BELISOL,257h 09' 46'',+ 05h 58' 39'',21,2013,,,,
21,TEAM ARGOS-SHIMANO,257h 20' 43'',+ 06h 09' 36'',21,2013,,,,
22,CANNONDALE,257h 32' 16'',+ 06h 21' 09'',21,2013,,,,
1,TEAM SKY,14h 12' 21'',-,1,2014,,,,
2,TEAM NETAPP-ENDURA,14h 12' 21'',-,1,2014,,,,
3,BELKIN PRO CYCLING,14h 12' 21'',-,1,2014,,,,
4,GARMIN - SHARP,14h 12' 21'',-,1,2014,,,,
5,TINKOFF-SAXO,14h 12' 21'',-,1,2014,,,,
6,MOVISTAR TEAM,14h 12' 21'',-,1,2014,,,,
7,AG2R LA MONDIALE,14h 12' 21'',-,1,2014,,,,
8,ORICA GREENEDGE,14h 12' 21'',-,1,2014,,,,
9,TREK FACTORY RACING,14h 12' 21'',-,1,2014,,,,
10,BMC RACING TEAM,14h 12' 21'',-,1,2014,,,,
11,IAM CYCLING,14h 12' 21'',-,1,2014,,,,
12,ASTANA PRO TEAM,14h 12' 21'',-,1,2014,,,,
13,TEAM GIANT-SHIMANO,14h 12' 21'',-,1,2014,,,,
14,BRETAGNE - SECHE ENVIRONNEMENT,14h 12' 21'',-,1,2014,,,,
15,TEAM EUROPCAR,14h 12' 21'',-,1,2014,,,,
16,LOTTO-BELISOL,14h 12' 21'',-,1,2014,,,,
17,FDJ.FR,14h 12' 21'',-,1,2014,,,,
18,TEAM KATUSHA,14h 12' 21'',-,1,2014,,,,
19,LAMPRE - MERIDA,14h 12' 21'',-,1,2014,,,,
20,CANNONDALE,14h 12' 21'',-,1,2014,,,,
21,"COFIDIS, SOLUTIONS CREDITS",14h 12' 21'',-,1,2014,,,,
22,OMEGA PHARMA-QUICK STEP,14h 12' 21'',-,1,2014,,,,
1,TEAM SKY,29h 38' 15'',-,2,2014,,,,
2,ASTANA PRO TEAM,29h 38' 27'',+ 00h 00' 12'',2,2014,,,,
3,BMC RACING TEAM,29h 38' 29'',+ 00h 00' 14'',2,2014,,,,
4,TEAM NETAPP-ENDURA,29h 39' 02'',+ 00h 00' 47'',2,2014,,,,
5,TREK FACTORY RACING,29h 39' 02'',+ 00h 00' 47'',2,2014,,,,
6,CANNONDALE,29h 39' 02'',+ 00h 00' 47'',2,2014,,,,
7,IAM CYCLING,29h 39' 16'',+ 00h 01' 01'',2,2014,,,,
8,TEAM KATUSHA,29h 39' 35'',+ 00h 01' 20'',2,2014,,,,
9,BELKIN PRO CYCLING,29h 39' 46'',+ 00h 01' 31'',2,2014,,,,
10,LAMPRE - MERIDA,29h 39' 46'',+ 00h 01' 31'',2,2014,,,,
11,TINKOFF-SAXO,29h 41' 01'',+ 00h 02' 46'',2,2014,,,,
12,GARMIN - SHARP,29h 41' 41'',+ 00h 03' 26'',2,2014,,,,
13,ORICA GREENEDGE,29h 42' 38'',+ 00h 04' 23'',2,2014,,,,
14,AG2R LA MONDIALE,29h 43' 59'',+ 00h 05' 44'',2,2014,,,,
15,FDJ.FR,29h 44' 46'',+ 00h 06' 31'',2,2014,,,,
16,TEAM EUROPCAR,29h 46' 05'',+ 00h 07' 50'',2,2014,,,,
17,"COFIDIS, SOLUTIONS CREDITS",29h 47' 59'',+ 00h 09' 44'',2,2014,,,,
18,LOTTO-BELISOL,29h 48' 44'',+ 00h 10' 29'',2,2014,,,,
19,OMEGA PHARMA-QUICK STEP,29h 49' 17'',+ 00h 11' 02'',2,2014,,,,
20,MOVISTAR TEAM,29h 50' 27'',+ 00h 12' 12'',2,2014,,,,
21,BRETAGNE - SECHE ENVIRONNEMENT,29h 51' 44'',+ 00h 13' 29'',2,2014,,,,
22,TEAM GIANT-SHIMANO,30h 03' 44'',+ 00h 25' 29'',2,2014,,,,
1,TEAM SKY,40h 33' 45'',-,3,2014,,,,
2,ASTANA PRO TEAM,40h 33' 57'',+ 00h 00' 12'',3,2014,,,,
3,BMC RACING TEAM,40h 33' 59'',+ 00h 00' 14'',3,2014,,,,
4,TEAM NETAPP-ENDURA,40h 34' 32'',+ 00h 00' 47'',3,2014,,,,
5,TREK FACTORY RACING,40h 34' 32'',+ 00h 00' 47'',3,2014,,,,
6,IAM CYCLING,40h 34' 46'',+ 00h 01' 01'',3,2014,,,,
7,TEAM KATUSHA,40h 35' 05'',+ 00h 01' 20'',3,2014,,,,
8,BELKIN PRO CYCLING,40h 35' 16'',+ 00h 01' 31'',3,2014,,,,
9,LAMPRE - MERIDA,40h 35' 16'',+ 00h 01' 31'',3,2014,,,,
10,CANNONDALE,40h 35' 27'',+ 00h 01' 42'',3,2014,,,,
11,TINKOFF-SAXO,40h 36' 31'',+ 00h 02' 46'',3,2014,,,,
12,GARMIN - SHARP,40h 37' 11'',+ 00h 03' 26'',3,2014,,,,
13,ORICA GREENEDGE,40h 38' 27'',+ 00h 04' 42'',3,2014,,,,
14,AG2R LA MONDIALE,40h 39' 29'',+ 00h 05' 44'',3,2014,,,,
15,FDJ.FR,40h 40' 16'',+ 00h 06' 31'',3,2014,,,,
16,TEAM EUROPCAR,40h 42' 13'',+ 00h 08' 28'',3,2014,,,,
17,"COFIDIS, SOLUTIONS CREDITS",40h 43' 29'',+ 00h 09' 44'',3,2014,,,,
18,LOTTO-BELISOL,40h 44' 14'',+ 00h 10' 29'',3,2014,,,,
19,OMEGA PHARMA-QUICK STEP,40h 44' 47'',+ 00h 11' 02'',3,2014,,,,
20,MOVISTAR TEAM,40h 45' 57'',+ 00h 12' 12'',3,2014,,,,
21,BRETAGNE - SECHE ENVIRONNEMENT,40h 47' 14'',+ 00h 13' 29'',3,2014,,,,
22,TEAM GIANT-SHIMANO,40h 59' 14'',+ 00h 25' 29'',3,2014,,,,
1,TEAM SKY,51h 23' 42'',-,4,2014,,,,
2,ASTANA PRO TEAM,51h 23' 54'',+ 00h 00' 12'',4,2014,,,,
3,BMC RACING TEAM,51h 23' 56'',+ 00h 00' 14'',4,2014,,,,
4,TEAM NETAPP-ENDURA,51h 24' 29'',+ 00h 00' 47'',4,2014,,,,
5,TREK FACTORY RACING,51h 24' 29'',+ 00h 00' 47'',4,2014,,,,
6,IAM CYCLING,51h 24' 43'',+ 00h 01' 01'',4,2014,,,,
7,TEAM KATUSHA,51h 25' 02'',+ 00h 01' 20'',4,2014,,,,
8,BELKIN PRO CYCLING,51h 25' 13'',+ 00h 01' 31'',4,2014,,,,
9,LAMPRE - MERIDA,51h 25' 13'',+ 00h 01' 31'',4,2014,,,,
10,CANNONDALE,51h 25' 24'',+ 00h 01' 42'',4,2014,,,,
11,TINKOFF-SAXO,51h 26' 28'',+ 00h 02' 46'',4,2014,,,,
12,GARMIN - SHARP,51h 27' 08'',+ 00h 03' 26'',4,2014,,,,
13,ORICA GREENEDGE,51h 28' 24'',+ 00h 04' 42'',4,2014,,,,
14,AG2R LA MONDIALE,51h 29' 26'',+ 00h 05' 44'',4,2014,,,,
15,FDJ.FR,51h 30' 13'',+ 00h 06' 31'',4,2014,,,,
16,TEAM EUROPCAR,51h 32' 10'',+ 00h 08' 28'',4,2014,,,,
17,"COFIDIS, SOLUTIONS CREDITS",51h 34' 09'',+ 00h 10' 27'',4,2014,,,,
18,LOTTO-BELISOL,51h 34' 11'',+ 00h 10' 29'',4,2014,,,,
19,OMEGA PHARMA-QUICK STEP,51h 34' 44'',+ 00h 11' 02'',4,2014,,,,
20,MOVISTAR TEAM,51h 35' 54'',+ 00h 12' 12'',4,2014,,,,
21,BRETAGNE - SECHE ENVIRONNEMENT,51h 37' 11'',+ 00h 13' 29'',4,2014,,,,
22,TEAM GIANT-SHIMANO,51h 49' 37'',+ 00h 25' 55'',4,2014,,,,
1,ASTANA PRO TEAM,61h 21' 26'',-,5,2014,,,,
2,BELKIN PRO CYCLING,61h 25' 44'',+ 00h 04' 18'',5,2014,,,,
3,BMC RACING TEAM,61h 27' 31'',+ 00h 06' 05'',5,2014,,,,
4,TEAM SKY,61h 27' 43'',+ 00h 06' 17'',5,2014,,,,
5,TREK FACTORY RACING,61h 28' 48'',+ 00h 07' 22'',5,2014,,,,
6,CANNONDALE,61h 30' 29'',+ 00h 09' 03'',5,2014,,,,
7,TEAM KATUSHA,61h 30' 52'',+ 00h 09' 26'',5,2014,,,,
8,ORICA GREENEDGE,61h 30' 58'',+ 00h 09' 32'',5,2014,,,,
9,GARMIN - SHARP,61h 31' 26'',+ 00h 10' 00'',5,2014,,,,
10,TEAM NETAPP-ENDURA,61h 32' 02'',+ 00h 10' 36'',5,2014,,,,
11,IAM CYCLING,61h 33' 16'',+ 00h 11' 50'',5,2014,,,,
12,OMEGA PHARMA-QUICK STEP,61h 34' 59'',+ 00h 13' 33'',5,2014,,,,
13,LAMPRE - MERIDA,61h 35' 52'',+ 00h 14' 26'',5,2014,,,,
14,LOTTO-BELISOL,61h 36' 08'',+ 00h 14' 42'',5,2014,,,,
15,AG2R LA MONDIALE,61h 37' 00'',+ 00h 15' 34'',5,2014,,,,
16,TINKOFF-SAXO,61h 39' 06'',+ 00h 17' 40'',5,2014,,,,
17,TEAM EUROPCAR,61h 40' 49'',+ 00h 19' 23'',5,2014,,,,
18,FDJ.FR,61h 40' 52'',+ 00h 19' 26'',5,2014,,,,
19,MOVISTAR TEAM,61h 42' 09'',+ 00h 20' 43'',5,2014,,,,
20,"COFIDIS, SOLUTIONS CREDITS",61h 55' 12'',+ 00h 33' 46'',5,2014,,,,
21,TEAM GIANT-SHIMANO,61h 56' 19'',+ 00h 34' 53'',5,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,62h 11' 52'',+ 00h 50' 26'',5,2014,,,,
1,ASTANA PRO TEAM,73h 56' 23'',-,6,2014,,,,
2,BELKIN PRO CYCLING,74h 00' 41'',+ 00h 04' 18'',6,2014,,,,
3,BMC RACING TEAM,74h 02' 28'',+ 00h 06' 05'',6,2014,,,,
4,TEAM SKY,74h 02' 40'',+ 00h 06' 17'',6,2014,,,,
5,TREK FACTORY RACING,74h 03' 45'',+ 00h 07' 22'',6,2014,,,,
6,CANNONDALE,74h 05' 26'',+ 00h 09' 03'',6,2014,,,,
7,TEAM KATUSHA,74h 05' 49'',+ 00h 09' 26'',6,2014,,,,
8,GARMIN - SHARP,74h 06' 38'',+ 00h 10' 15'',6,2014,,,,
9,ORICA GREENEDGE,74h 06' 54'',+ 00h 10' 31'',6,2014,,,,
10,TEAM NETAPP-ENDURA,74h 06' 59'',+ 00h 10' 36'',6,2014,,,,
11,IAM CYCLING,74h 08' 13'',+ 00h 11' 50'',6,2014,,,,
12,OMEGA PHARMA-QUICK STEP,74h 09' 56'',+ 00h 13' 33'',6,2014,,,,
13,LOTTO-BELISOL,74h 11' 05'',+ 00h 14' 42'',6,2014,,,,
14,LAMPRE - MERIDA,74h 11' 48'',+ 00h 15' 25'',6,2014,,,,
15,AG2R LA MONDIALE,74h 11' 57'',+ 00h 15' 34'',6,2014,,,,
16,TINKOFF-SAXO,74h 14' 03'',+ 00h 17' 40'',6,2014,,,,
17,TEAM EUROPCAR,74h 16' 33'',+ 00h 20' 10'',6,2014,,,,
18,MOVISTAR TEAM,74h 18' 33'',+ 00h 22' 10'',6,2014,,,,
19,FDJ.FR,74h 20' 16'',+ 00h 23' 53'',6,2014,,,,
20,TEAM GIANT-SHIMANO,74h 31' 16'',+ 00h 34' 53'',6,2014,,,,
21,"COFIDIS, SOLUTIONS CREDITS",74h 35' 21'',+ 00h 38' 58'',6,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,74h 46' 49'',+ 00h 50' 26'',6,2014,,,,
1,ASTANA PRO TEAM,89h 52' 20'',-,7,2014,,,,
2,BELKIN PRO CYCLING,89h 56' 38'',+ 00h 04' 18'',7,2014,,,,
3,TEAM SKY,89h 58' 51'',+ 00h 06' 31'',7,2014,,,,
4,BMC RACING TEAM,89h 59' 28'',+ 00h 07' 08'',7,2014,,,,
5,TREK FACTORY RACING,90h 00' 45'',+ 00h 08' 25'',7,2014,,,,
6,TEAM NETAPP-ENDURA,90h 02' 56'',+ 00h 10' 36'',7,2014,,,,
7,TEAM KATUSHA,90h 03' 40'',+ 00h 11' 20'',7,2014,,,,
8,ORICA GREENEDGE,90h 04' 17'',+ 00h 11' 57'',7,2014,,,,
9,IAM CYCLING,90h 05' 13'',+ 00h 12' 53'',7,2014,,,,
10,CANNONDALE,90h 05' 31'',+ 00h 13' 11'',7,2014,,,,
11,OMEGA PHARMA-QUICK STEP,90h 06' 56'',+ 00h 14' 36'',7,2014,,,,
12,GARMIN - SHARP,90h 07' 49'',+ 00h 15' 29'',7,2014,,,,
13,AG2R LA MONDIALE,90h 08' 08'',+ 00h 15' 48'',7,2014,,,,
14,LAMPRE - MERIDA,90h 08' 48'',+ 00h 16' 28'',7,2014,,,,
15,LOTTO-BELISOL,90h 09' 44'',+ 00h 17' 24'',7,2014,,,,
16,TINKOFF-SAXO,90h 11' 47'',+ 00h 19' 27'',7,2014,,,,
17,TEAM EUROPCAR,90h 12' 30'',+ 00h 20' 10'',7,2014,,,,
18,MOVISTAR TEAM,90h 16' 10'',+ 00h 23' 50'',7,2014,,,,
19,FDJ.FR,90h 16' 13'',+ 00h 23' 53'',7,2014,,,,
20,TEAM GIANT-SHIMANO,90h 30' 58'',+ 00h 38' 38'',7,2014,,,,
21,"COFIDIS, SOLUTIONS CREDITS",90h 31' 46'',+ 00h 39' 26'',7,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,90h 47' 06'',+ 00h 54' 46'',7,2014,,,,
1,ASTANA PRO TEAM,101h 30' 53'',-,8,2014,,,,
2,BELKIN PRO CYCLING,101h 36' 16'',+ 00h 05' 23'',8,2014,,,,
3,TEAM SKY,101h 36' 24'',+ 00h 05' 31'',8,2014,,,,
4,AG2R LA MONDIALE,101h 41' 48'',+ 00h 10' 55'',8,2014,,,,
5,OMEGA PHARMA-QUICK STEP,101h 48' 10'',+ 00h 17' 17'',8,2014,,,,
6,TINKOFF-SAXO,101h 50' 57'',+ 00h 20' 04'',8,2014,,,,
7,BMC RACING TEAM,101h 51' 40'',+ 00h 20' 47'',8,2014,,,,
8,MOVISTAR TEAM,101h 55' 59'',+ 00h 25' 06'',8,2014,,,,
9,LAMPRE - MERIDA,101h 56' 02'',+ 00h 25' 09'',8,2014,,,,
10,TREK FACTORY RACING,101h 56' 05'',+ 00h 25' 12'',8,2014,,,,
11,TEAM EUROPCAR,101h 56' 15'',+ 00h 25' 22'',8,2014,,,,
12,GARMIN - SHARP,101h 56' 28'',+ 00h 25' 35'',8,2014,,,,
13,TEAM NETAPP-ENDURA,101h 58' 04'',+ 00h 27' 11'',8,2014,,,,
14,FDJ.FR,101h 58' 31'',+ 00h 27' 38'',8,2014,,,,
15,LOTTO-BELISOL,102h 02' 00'',+ 00h 31' 07'',8,2014,,,,
16,IAM CYCLING,102h 02' 25'',+ 00h 31' 32'',8,2014,,,,
17,TEAM KATUSHA,102h 10' 36'',+ 00h 39' 43'',8,2014,,,,
18,ORICA GREENEDGE,102h 14' 22'',+ 00h 43' 29'',8,2014,,,,
19,"COFIDIS, SOLUTIONS CREDITS",102h 20' 16'',+ 00h 49' 23'',8,2014,,,,
20,CANNONDALE,102h 33' 34'',+ 01h 02' 41'',8,2014,,,,
21,TEAM GIANT-SHIMANO,102h 46' 34'',+ 01h 15' 41'',8,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,102h 48' 24'',+ 01h 17' 31'',8,2014,,,,
1,ASTANA PRO TEAM,114h 22' 53'',-,9,2014,,,,
2,BELKIN PRO CYCLING,114h 23' 15'',+ 00h 00' 22'',9,2014,,,,
3,AG2R LA MONDIALE,114h 23' 46'',+ 00h 00' 53'',9,2014,,,,
4,TEAM SKY,114h 28' 24'',+ 00h 05' 31'',9,2014,,,,
5,OMEGA PHARMA-QUICK STEP,114h 32' 24'',+ 00h 09' 31'',9,2014,,,,
6,BMC RACING TEAM,114h 33' 38'',+ 00h 10' 45'',9,2014,,,,
7,TINKOFF-SAXO,114h 37' 56'',+ 00h 15' 03'',9,2014,,,,
8,TEAM EUROPCAR,114h 38' 13'',+ 00h 15' 20'',9,2014,,,,
9,MOVISTAR TEAM,114h 42' 58'',+ 00h 20' 05'',9,2014,,,,
10,LAMPRE - MERIDA,114h 43' 01'',+ 00h 20' 08'',9,2014,,,,
11,TREK FACTORY RACING,114h 43' 04'',+ 00h 20' 11'',9,2014,,,,
12,TEAM NETAPP-ENDURA,114h 45' 03'',+ 00h 22' 10'',9,2014,,,,
13,GARMIN - SHARP,114h 48' 28'',+ 00h 25' 35'',9,2014,,,,
14,LOTTO-BELISOL,114h 48' 59'',+ 00h 26' 06'',9,2014,,,,
15,FDJ.FR,114h 50' 31'',+ 00h 27' 38'',9,2014,,,,
16,TEAM KATUSHA,114h 52' 49'',+ 00h 29' 56'',9,2014,,,,
17,IAM CYCLING,114h 54' 25'',+ 00h 31' 32'',9,2014,,,,
18,"COFIDIS, SOLUTIONS CREDITS",115h 02' 14'',+ 00h 39' 21'',9,2014,,,,
19,ORICA GREENEDGE,115h 06' 22'',+ 00h 43' 29'',9,2014,,,,
20,CANNONDALE,115h 20' 33'',+ 00h 57' 40'',9,2014,,,,
21,TEAM GIANT-SHIMANO,115h 33' 33'',+ 01h 10' 40'',9,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,115h 35' 23'',+ 01h 12' 30'',9,2014,,,,
1,AG2R LA MONDIALE,127h 48' 28'',-,10,2014,,,,
2,ASTANA PRO TEAM,127h 51' 47'',+ 00h 03' 19'',10,2014,,,,
3,BELKIN PRO CYCLING,127h 52' 53'',+ 00h 04' 25'',10,2014,,,,
4,TEAM SKY,127h 53' 24'',+ 00h 04' 56'',10,2014,,,,
5,BMC RACING TEAM,128h 09' 06'',+ 00h 20' 38'',10,2014,,,,
6,MOVISTAR TEAM,128h 10' 55'',+ 00h 22' 27'',10,2014,,,,
7,LAMPRE - MERIDA,128h 12' 32'',+ 00h 24' 04'',10,2014,,,,
8,TEAM EUROPCAR,128h 16' 15'',+ 00h 27' 47'',10,2014,,,,
9,OMEGA PHARMA-QUICK STEP,128h 18' 26'',+ 00h 29' 58'',10,2014,,,,
10,TEAM KATUSHA,128h 22' 32'',+ 00h 34' 04'',10,2014,,,,
11,TREK FACTORY RACING,128h 23' 45'',+ 00h 35' 17'',10,2014,,,,
12,"COFIDIS, SOLUTIONS CREDITS",128h 31' 58'',+ 00h 43' 30'',10,2014,,,,
13,LOTTO-BELISOL,128h 36' 25'',+ 00h 47' 57'',10,2014,,,,
14,TEAM NETAPP-ENDURA,128h 40' 25'',+ 00h 51' 57'',10,2014,,,,
15,FDJ.FR,128h 41' 04'',+ 00h 52' 36'',10,2014,,,,
16,GARMIN - SHARP,128h 45' 18'',+ 00h 56' 50'',10,2014,,,,
17,IAM CYCLING,128h 49' 02'',+ 01h 00' 34'',10,2014,,,,
18,TINKOFF-SAXO,129h 26' 08'',+ 01h 37' 40'',10,2014,,,,
19,ORICA GREENEDGE,129h 27' 12'',+ 01h 38' 44'',10,2014,,,,
20,CANNONDALE,129h 50' 28'',+ 02h 02' 00'',10,2014,,,,
21,TEAM GIANT-SHIMANO,129h 52' 59'',+ 02h 04' 31'',10,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,129h 59' 51'',+ 02h 11' 23'',10,2014,,,,
1,AG2R LA MONDIALE,141h 05' 43'',-,11,2014,,,,
2,ASTANA PRO TEAM,141h 09' 02'',+ 00h 03' 19'',11,2014,,,,
3,BELKIN PRO CYCLING,141h 10' 08'',+ 00h 04' 25'',11,2014,,,,
4,TEAM SKY,141h 10' 39'',+ 00h 04' 56'',11,2014,,,,
5,BMC RACING TEAM,141h 27' 03'',+ 00h 21' 20'',11,2014,,,,
6,MOVISTAR TEAM,141h 28' 17'',+ 00h 22' 34'',11,2014,,,,
7,LAMPRE - MERIDA,141h 32' 59'',+ 00h 27' 16'',11,2014,,,,
8,TEAM EUROPCAR,141h 35' 06'',+ 00h 29' 23'',11,2014,,,,
9,OMEGA PHARMA-QUICK STEP,141h 35' 50'',+ 00h 30' 07'',11,2014,,,,
10,TREK FACTORY RACING,141h 49' 14'',+ 00h 43' 31'',11,2014,,,,
11,"COFIDIS, SOLUTIONS CREDITS",141h 53' 12'',+ 00h 47' 29'',11,2014,,,,
12,TEAM KATUSHA,141h 55' 36'',+ 00h 49' 53'',11,2014,,,,
13,LOTTO-BELISOL,141h 57' 46'',+ 00h 52' 03'',11,2014,,,,
14,FDJ.FR,141h 59' 56'',+ 00h 54' 13'',11,2014,,,,
15,TEAM NETAPP-ENDURA,142h 05' 54'',+ 01h 00' 11'',11,2014,,,,
16,IAM CYCLING,142h 16' 44'',+ 01h 11' 01'',11,2014,,,,
17,TINKOFF-SAXO,142h 43' 35'',+ 01h 37' 52'',11,2014,,,,
18,ORICA GREENEDGE,142h 48' 30'',+ 01h 42' 47'',11,2014,,,,
19,GARMIN - SHARP,142h 53' 50'',+ 01h 48' 07'',11,2014,,,,
20,TEAM GIANT-SHIMANO,143h 18' 52'',+ 02h 13' 09'',11,2014,,,,
21,CANNONDALE,143h 19' 06'',+ 02h 13' 23'',11,2014,,,,
22,BRETAGNE - SECHE ENVIRONNEMENT,143h 28' 32'',+ 02h 22' 49'',11,2014,,,,
1,AG2R LA MONDIALE,154h 42' 16'',-,12,2014,,,,
2,ASTANA PRO TEAM,154h 45' 35'',+ 00h 03' 19'',12,2014,,,,
3,BELKIN PRO CYCLING,154h 46' 41'',+ 00h 04' 25'',12,2014,,,,
4,TEAM SKY,154h 47' 12'',+ 00h 04' 56'',12,2014,,,,
