Rank,Team,Times,Gap,Stages,Year,Rider,Rider No.,B,P
6,CERVELO TEST TEAM,55h 34' 02'',+ 00h 03' 22'',4,2010,,,,
7,RABOBANK,55h 34' 17'',+ 00h 03' 37'',4,2010,,,,
8,OMEGA PHARMA - LOTTO,55h 34' 20'',+ 00h 03' 40'',4,2010,,,,
9,AG2R LA MONDIALE,55h 34' 29'',+ 00h 03' 49'',4,2010,,,,
10,CAISSE D'EPARGNE,55h 34' 35'',+ 00h 03' 55'',4,2010,,,,
11,TEAM RADIOSHACK,55h 35' 08'',+ 00h 04' 28'',4,2010,,,,
12,TEAM HTC - COLUMBIA,55h 35' 09'',+ 00h 04' 29'',4,2010,,,,
13,LIQUIGAS-DOIMO,55h 35' 22'',+ 00h 04' 42'',4,2010,,,,
14,KATUSHA TEAM,55h 35' 51'',+ 00h 05' 11'',4,2010,,,,
15,FDJ,55h 36' 10'',+ 00h 05' 30'',4,2010,,,,
16,COFIDIS LE CREDIT EN LIGNE,55h 36' 11'',+ 00h 05' 31'',4,2010,,,,
17,EUSKALTEL - EUSKADI,55h 36' 43'',+ 00h 06' 03'',4,2010,,,,
18,BBOX BOUYGUES TELECOM,55h 36' 51'',+ 00h 06' 11'',4,2010,,,,
19,QUICK STEP,55h 37' 13'',+ 00h 06' 33'',4,2010,,,,
20,TEAM MILRAM,55h 37' 17'',+ 00h 06' 37'',4,2010,,,,
21,FOOTON-SERVETTO,55h 40' 46'',+ 00h 10' 06'',4,2010,,,,
22,LAMPRE - FARNESE,55h 40' 48'',+ 00h 10' 08'',4,2010,,,,
1,TEAM SAXO BANK,69h 03' 10'',-,5,2010,,,,
2,GARMIN - TRANSITIONS,69h 03' 21'',+ 00h 00' 11'',5,2010,,,,
3,SKY PRO CYCLING,69h 03' 35'',+ 00h 00' 25'',5,2010,,,,
4,ASTANA,69h 05' 31'',+ 00h 02' 21'',5,2010,,,,
5,BMC RACING TEAM,69h 06' 00'',+ 00h 02' 50'',5,2010,,,,
6,CERVELO TEST TEAM,69h 06' 32'',+ 00h 03' 22'',5,2010,,,,
7,RABOBANK,69h 06' 47'',+ 00h 03' 37'',5,2010,,,,
8,OMEGA PHARMA - LOTTO,69h 06' 50'',+ 00h 03' 40'',5,2010,,,,
9,AG2R LA MONDIALE,69h 06' 59'',+ 00h 03' 49'',5,2010,,,,
10,CAISSE D'EPARGNE,69h 07' 05'',+ 00h 03' 55'',5,2010,,,,
11,TEAM RADIOSHACK,69h 07' 38'',+ 00h 04' 28'',5,2010,,,,
12,TEAM HTC - COLUMBIA,69h 07' 39'',+ 00h 04' 29'',5,2010,,,,
13,LIQUIGAS-DOIMO,69h 07' 52'',+ 00h 04' 42'',5,2010,,,,
14,KATUSHA TEAM,69h 08' 21'',+ 00h 05' 11'',5,2010,,,,
15,FDJ,69h 08' 40'',+ 00h 05' 30'',5,2010,,,,
16,COFIDIS LE CREDIT EN LIGNE,69h 08' 41'',+ 00h 05' 31'',5,2010,,,,
17,EUSKALTEL - EUSKADI,69h 09' 13'',+ 00h 06' 03'',5,2010,,,,
18,BBOX BOUYGUES TELECOM,69h 09' 21'',+ 00h 06' 11'',5,2010,,,,
19,QUICK STEP,69h 09' 43'',+ 00h 06' 33'',5,2010,,,,
20,TEAM MILRAM,69h 09' 47'',+ 00h 06' 37'',5,2010,,,,
21,FOOTON-SERVETTO,69h 13' 16'',+ 00h 10' 06'',5,2010,,,,
22,LAMPRE - FARNESE,69h 13' 18'',+ 00h 10' 08'',5,2010,,,,
